heart_rate,eda,body_temp,bvp,cluster,stress_level
101.0,0.0,382.18,0.0,2,High Stress
106.5,0.328021,382.18,0.0,2,High Stress
95.33,0.410026,382.18,0.0,2,High Stress
90.25,0.43309,382.18,0.0,2,High Stress
88.2,0.444622,35.05,0.0,0,Medium Stress
86.83,0.453591,35.05,0.0,0,Medium Stress
85.86,0.458716,35.05,0.0,0,Medium Stress
85.0,0.46256,35.05,0.0,0,Medium Stress
84.44,0.465123,35.07,0.0,0,Medium Stress
84.0,0.467686,35.07,0.0,0,Medium Stress
83.55,0.470248,35.07,0.0,0,Medium Stress
83.17,0.47153,35.07,0.01,0,Medium Stress
82.54,0.472811,35.09,0.01,0,Medium Stress
82.0,0.474092,35.09,0.0,0,Medium Stress
81.53,0.474092,35.09,-0.03,0,Medium Stress
81.19,0.475374,35.09,-0.05,0,Medium Stress
80.82,0.475374,35.11,-0.05,0,Medium Stress
80.5,0.475374,35.11,0.0,0,Medium Stress
80.21,0.476655,35.11,0.13,0,Medium Stress
80.0,0.479218,35.11,0.36,0,Medium Stress
79.86,0.479218,35.09,0.66,0,Medium Stress
79.82,0.479218,35.09,1.01,0,Medium Stress
79.87,0.477936,35.09,1.37,0,Medium Stress
79.88,0.477936,35.09,1.72,0,Medium Stress
79.96,0.479218,35.13,2.06,0,Medium Stress
80.08,0.477936,35.13,2.4,0,Medium Stress
80.11,0.479218,35.13,2.79,0,Medium Stress
80.07,0.477936,35.13,3.24,0,Medium Stress
79.97,0.477936,35.11,3.8,0,Medium Stress
79.87,0.479218,35.11,4.42,0,Medium Stress
79.87,0.48178,35.11,5.06,0,Medium Stress
79.97,0.485624,35.11,5.66,0,Medium Stress
80.24,0.49075,35.13,6.2,0,Medium Stress
80.35,0.493312,35.13,6.68,0,Medium Stress
80.49,0.495875,35.13,7.15,0,Medium Stress
80.67,0.501,35.13,7.68,0,Medium Stress
80.84,0.503563,35.15,8.31,0,Medium Stress
81.05,0.506126,35.15,9.14,0,Medium Stress
81.23,0.504844,35.15,10.09,0,Medium Stress
81.43,0.503563,35.15,11.04,0,Medium Stress
81.66,0.502282,35.13,11.88,0,Medium Stress
81.9,0.501,35.13,12.56,0,Medium Stress
82.16,0.499719,35.13,13.14,0,Medium Stress
82.48,0.498438,35.13,13.76,0,Medium Stress
82.76,0.498438,35.15,14.65,0,Medium Stress
83.04,0.497156,35.15,15.96,0,Medium Stress
83.3,0.497156,35.15,17.91,0,Medium Stress
83.54,0.495875,35.15,20.32,0,Medium Stress
83.76,0.494594,35.15,22.9,0,Medium Stress
83.9,0.494594,35.15,25.38,0,Medium Stress
84.08,0.493312,35.15,27.58,0,Medium Stress
84.19,0.492031,35.15,29.57,0,Medium Stress
84.34,0.492031,35.15,31.68,0,Medium Stress
84.48,0.49075,35.15,34.32,0,Medium Stress
84.6,0.489468,35.15,37.81,0,Medium Stress
84.71,0.488187,35.15,42.54,0,Medium Stress
84.79,0.488187,35.16,48.15,0,Medium Stress
84.91,0.486906,35.16,54.1,0,Medium Stress
85.07,0.485624,35.16,59.83,0,Medium Stress
85.17,0.485624,35.16,64.97,0,Medium Stress
85.03,0.485624,35.15,69.58,0,Medium Stress
84.68,0.483062,35.15,74.14,0,Medium Stress
85.0,0.483062,35.15,79.34,0,Medium Stress
